population_estimate,total_incidents,anti_american_indian_or_alaska_native,anti_arab,anti_asian,anti_atheism_agnosticism,anti_bisexual,anti_black_or_african_american,anti_buddhist,anti_catholic,anti_eastern_orthodox_russian_greek_other,anti_female,anti_gay_male,anti_gender_non_conforming,anti_heterosexual,anti_hindu,anti_hispanic_or_latino,anti_islamic_muslim,anti_jehovahs_witness,anti_jewish,anti_lesbian_female,anti_male,anti_mental_disability,anti_mormon,anti_multiple_races_group,anti_multiple_religions_group,anti_native_hawaiian_or_other_pacific_islander,anti_other_christian,anti_other_race_ethnicity_ancestry,anti_other_religion,anti_physical_disability,anti_protestant,anti_sikh,anti_transgender,anti_white,unknown_motivation,anti_lgbtq_grouped
280948892,8221.0,59.0,38.0,280.0,4.0,21.0,2941.0,0.0,56.0,0.0,0.0,905.0,0.0,26.0,0.0,573.0,29.0,0.0,1122.0,193.0,0.0,18.0,0.0,247.0,49.0,0.0,0.0,318.0,174.0,20.0,59.0,0.0,0.0,907.0,0.0,1305.0
283743007,9732.0,78.0,254.0,280.0,5.0,15.0,2923.0,0.0,36.0,0.0,0.0,991.0,0.0,16.0,0.0,607.0,499.0,0.0,1053.0,205.0,0.0,23.0,0.0,219.0,47.0,0.0,0.0,1252.0,188.0,14.0,34.0,0.0,0.0,823.0,0.0,1388.0
286385580,7658.0,65.0,81.0,219.0,2.0,16.0,2553.0,0.0,51.0,0.0,0.0,829.0,0.0,13.0,0.0,493.0,156.0,0.0,939.0,174.0,0.0,32.0,0.0,160.0,25.0,0.0,0.0,547.0,201.0,21.0,53.0,0.0,0.0,806.0,0.0,1242.0
288856779,7545.0,71.0,14.0,236.0,9.0,8.0,2574.0,0.0,75.0,0.0,0.0,791.0,0.0,16.0,0.0,432.0,149.0,0.0,931.0,184.0,0.0,10.0,0.0,161.0,23.0,0.0,0.0,589.0,108.0,36.0,48.0,0.0,0.0,833.0,0.0,1234.0
291531729,7685.0,85.0,0.0,224.0,6.0,15.0,2765.0,0.0,57.0,0.0,0.0,738.0,0.0,29.0,0.0,478.0,158.0,0.0,965.0,165.0,0.0,32.0,0.0,184.0,35.0,0.0,0.0,498.0,124.0,23.0,39.0,0.0,0.0,828.0,0.0,1161.0
294223870,7448.0,80.0,0.0,211.0,4.0,26.0,2689.0,0.0,67.0,0.0,0.0,673.0,0.0,21.0,0.0,541.0,138.0,0.0,937.0,161.0,0.0,35.0,0.0,192.0,40.0,0.0,0.0,434.0,100.0,21.0,56.0,0.0,0.0,821.0,0.0,1063.0
297070181,7748.0,62.0,0.0,185.0,7.0,20.0,2648.0,0.0,75.0,0.0,0.0,748.0,0.0,31.0,0.0,592.0,156.0,0.0,969.0,162.0,0.0,65.0,0.0,233.0,72.0,0.0,0.0,417.0,125.0,18.0,60.0,0.0,0.0,860.0,0.0,1175.0
299915532,7629.0,61.0,0.0,190.0,7.0,23.0,2679.0,0.0,61.0,0.0,0.0,777.0,0.0,23.0,0.0,598.0,115.0,0.0,973.0,145.0,0.0,39.0,0.0,214.0,55.0,0.0,0.0,414.0,130.0,20.0,56.0,0.0,0.0,743.0,0.0,1254.0
302761753,8039.0,56.0,0.0,143.0,14.0,28.0,2953.0,0.0,79.0,0.0,0.0,799.0,0.0,33.0,0.0,575.0,105.0,0.0,1036.0,159.0,0.0,66.0,0.0,221.0,67.0,0.0,0.0,351.0,196.0,27.0,55.0,0.0,0.0,760.0,0.0,1303.0
305424812,6613.0,68.0,0.0,128.0,10.0,24.0,2300.0,0.0,52.0,0.0,0.0,688.0,0.0,21.0,0.0,486.0,107.0,0.0,932.0,186.0,0.0,70.0,0.0,180.0,48.0,0.0,0.0,296.0,111.0,24.0,38.0,0.0,0.0,539.0,0.0,1206.0
307963139,6633.0,44.0,0.0,152.0,5.0,26.0,2203.0,0.0,58.0,0.0,0.0,741.0,0.0,21.0,0.0,534.0,160.0,0.0,887.0,145.0,0.0,25.0,0.0,167.0,48.0,0.0,0.0,314.0,124.0,19.0,41.0,0.0,0.0,576.0,0.0,1258.0
310203919,6299.0,64.0,0.0,137.0,4.0,25.0,2102.0,0.0,73.0,0.0,0.0,766.0,0.0,18.0,0.0,405.0,163.0,0.0,770.0,138.0,0.0,42.0,0.0,136.0,53.0,0.0,0.0,320.0,131.0,22.0,45.0,0.0,0.0,528.0,0.0,1289.0
312482463,6594.0,105.0,0.0,144.0,13.0,38.0,2061.0,0.0,75.0,0.0,2.0,728.0,4.0,26.0,0.0,429.0,149.0,0.0,869.0,171.0,0.0,89.0,0.0,123.0,76.0,0.0,0.0,312.0,102.0,21.0,38.0,0.0,0.0,686.0,0.0,1275.0
314651125,6044.0,93.0,0.0,134.0,7.0,27.0,1911.0,0.0,70.0,0.0,13.0,763.0,8.0,21.0,0.0,341.0,140.0,0.0,630.0,166.0,7.0,70.0,0.0,96.0,43.0,3.0,0.0,337.0,122.0,24.0,38.0,0.0,23.0,670.0,0.0,1274.0
316970994,5601.0,138.0,7.0,139.0,10.0,34.0,1659.0,0.0,70.0,0.0,24.0,614.0,41.0,19.0,0.0,307.0,156.0,0.0,616.0,132.0,10.0,70.0,0.0,87.0,48.0,3.0,0.0,347.0,110.0,27.0,28.0,0.0,60.0,614.0,0.0,1124.0
319315995,5890.0,132.0,40.0,115.0,3.0,31.0,1763.0,1.0,54.0,49.0,17.0,676.0,41.0,19.0,5.0,302.0,260.0,1.0,670.0,138.0,7.0,31.0,8.0,113.0,51.0,3.0,15.0,261.0,96.0,59.0,38.0,6.0,73.0,615.0,0.0,1163.0
321642870,6276.0,158.0,58.0,115.0,5.0,24.0,1795.0,2.0,62.0,32.0,23.0,703.0,20.0,20.0,11.0,357.0,315.0,2.0,707.0,137.0,7.0,59.0,7.0,146.0,34.0,9.0,37.0,230.0,82.0,43.0,16.0,10.0,107.0,755.0,0.0,1214.0
323696365,7318.0,243.0,106.0,132.0,6.0,24.0,2101.0,15.0,72.0,19.0,55.0,692.0,14.0,32.0,10.0,446.0,283.0,7.0,983.0,132.0,25.0,89.0,11.0,202.0,52.0,15.0,25.0,282.0,84.0,67.0,42.0,18.0,117.0,721.0,0.0,1233.0
325415097,7050.0,185.0,82.0,145.0,4.0,20.0,1956.0,9.0,49.0,32.0,41.0,735.0,26.0,20.0,12.0,492.0,191.0,9.0,864.0,133.0,26.0,101.0,8.0,144.0,53.0,13.0,49.0,271.0,91.0,61.0,33.0,40.0,143.0,788.0,1.0,1344.0
326914338,7728.0,102.0,116.0,197.0,5.0,30.0,2249.0,6.0,70.0,53.0,70.0,810.0,50.0,19.0,8.0,581.0,208.0,7.0,1151.0,128.0,20.0,105.0,11.0,157.0,45.0,22.0,56.0,361.0,86.0,51.0,24.0,68.0,167.0,690.0,0.0,1400.0
330049169,10047.0,131.0,101.0,330.0,11.0,23.0,3603.0,18.0,81.0,79.0,76.0,822.0,76.0,20.0,16.0,662.0,154.0,11.0,944.0,137.0,37.0,111.0,10.0,286.0,73.0,32.0,56.0,390.0,97.0,78.0,43.0,174.0,235.0,1200.0,0.0,1494.0
