State,Per Capita
AL,0.0447664244653881
AK,3.1559978160495112
AZ,7.319648876822636
AR,0.1114590698146175
CA,6.514023509302263
CO,2.847015615880653
CT,4.981305539007846
DE,2.1364862843864323
FL,1.8463081723101948
GA,0.465558351293142
ID,2.575831728489153
IL,2.258087375970347
IN,2.2683656017859706
IA,1.0914063008932138
KS,3.034607103497126
KY,2.0402484481821137
LA,0.2233202132708036
ME,2.4889320303774154
MD,4.465372986093526
MA,9.23779009552594
MI,4.4239284484622345
MN,4.174363148722123
MS,0.105152692224379
MO,1.6131485433268653
MT,1.4333582149618342
NE,3.1398342632669625
NV,4.479605642206272
NH,2.1505085156154795
NJ,9.031316531630626
NM,1.0918878194454302
NY,3.731101212513568
NC,1.0231273055382126
ND,2.503669440523768
OH,3.1877326913140167
OK,1.3267572322690433
OR,6.401500373276677
PA,1.146437465901616
RI,5.959464291457533
SC,1.4022157468828371
SD,0.6596549740623664
TN,3.3038944743060474
TX,2.045064401235632
UT,2.890027871253637
VT,2.776765982329968
VA,4.959461610849801
WA,4.6443854225104335
WV,2.220395330286581
WI,1.1282016188768476
WY,2.0216028480340924
